NAME,NATIVE_AMERICAN_NAME,MEANING,LOCATION,TRIBE,COMMENT,COUNTY,LATITUDE,LONGITUDE,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor
Cache la Poudre River,ho'oowu' heetou',Where there is a House,,Arapaho,,,,,97,{7432BC21-1893-4E57-919C-38F29E22154F},2022-06-29 23:21:07,Seth.Greer_ucboulder,2022-06-29 23:21:45,Seth.Greer_ucboulder
Mount Chauncey,beiines heetohkokoyoo',Square Forts,,Arapaho,,,,,99,{16FE59B7-7FC0-405E-92CB-7D7989AF5484},2022-06-29 23:23:28,Seth.Greer_ucboulder,2022-06-29 23:23:55,Seth.Greer_ucboulder
Cimarron River,heneeceiniinie,Buffalo Bull River,,Arapaho,,,,,100,{B550C179-B24F-4EF6-8631-3EECF09B2A10},2022-06-29 23:25:45,Seth.Greer_ucboulder,2022-06-29 23:26:15,Seth.Greer_ucboulder
Mount Craig,neneehii3ei'oteyoo',Middle Mountain,,Arapaho,Also known as Baldy Mountain,,,,101,{1AC23099-3734-4ACF-8C40-0342E8CD7127},2022-06-29 23:28:45,Seth.Greer_ucboulder,2022-06-29 23:41:55,Seth.Greer_ucboulder
Deer Mountain,cenii3oteyoo',Going-Inside Mountain,,Arapaho,,,,,102,{8839687F-307C-4794-816B-9EF90E7DB51A},2022-06-29 23:33:41,Seth.Greer_ucboulder,2022-06-29 23:34:59,Seth.Greer_ucboulder
Mount Enentah,hineniteenoteyoo',Person Mountain,,Arapaho,English name based on Arapaho,,,,103,{0BB64D03-ACF5-47E4-A16C-702CDF985731},2022-06-29 23:38:47,Seth.Greer_ucboulder,2022-06-29 23:39:47,Seth.Greer_ucboulder
Fountain Creek,konootoowu',Boiling Water,,Arapaho,,,,,104,{E622E590-6F3C-4EBA-97BE-3368849A05C2},2022-07-03 2:02:25,Seth.Greer_ucboulder,2022-07-03 2:03:16,Seth.Greer_ucboulder
Fraser River,benii3oonoo',It is Steep,,Arapaho,,,,,105,{97EB6F78-A846-42D0-BE4A-8CB605370DCC},2022-07-03 2:04:24,Seth.Greer_ucboulder,2022-07-03 2:04:36,Seth.Greer_ucboulder
Fraser River,benii3oonoo',It is Steep,,Arapaho,,,,,106,{D0AE8A9F-FCAE-43B6-9DA0-D2C231FA6A43},2022-07-03 2:05:01,Seth.Greer_ucboulder,2022-07-03 2:05:22,Seth.Greer_ucboulder
Laramie River,ne'iiniicie,Goose River,,Arapaho,,,,,107,{0560DD34-39D8-41D1-A446-189C307C7017},2022-07-03 16:55:41,Seth.Greer_ucboulder,2022-07-03 16:56:07,Seth.Greer_ucboulder
"Lookout, Shadow and Echo Mountain",beniisoteyoo',Piney Mountain,,Arapaho,,,,,108,{3368EA43-313D-4539-9DA9-CD9FDF74BDAC},2022-07-03 17:06:38,Seth.Greer_ucboulder,2022-07-03 17:07:10,Seth.Greer_ucboulder
Mill's Lake,teiitooni'ec,Still Lake,,Arapaho,,,,,109,{A1BD8693-1124-44E1-AC99-EEC7435F1350},2022-07-05 21:54:18,Seth.Greer_ucboulder,2022-07-05 21:54:47,Seth.Greer_ucboulder
Mummy Range,nookbee3eino',White Owls,,Arapaho,"Includes Chiquita, Chapin, Ypsilon, Fairtchild Mountains",,,,110,{70E1FFD3-8934-49DD-979C-A4939C24BC63},2022-07-05 21:55:15,Seth.Greer_ucboulder,2022-07-05 21:56:34,Seth.Greer_ucboulder
Nisa Mountain,niisoo,Twin,,Arapaho,,,,,112,{BF4065DE-506A-4800-8F9E-2928A7036476},2022-07-05 22:01:29,Seth.Greer_ucboulder,2022-07-05 22:01:53,Seth.Greer_ucboulder
North Platte River,bei'i'einiicie,Shell River,,Arapaho,,,,,113,{B85C9CB4-7D6B-4381-B2F0-BA52B153D54D},2022-07-05 22:04:29,Seth.Greer_ucboulder,2022-07-05 22:04:50,Seth.Greer_ucboulder
North Platte River,bei'i'einiicie,Shell River,,Arapaho,,,,,114,{F26C055A-9AB8-42CD-A75A-3021BAC4F766},2022-07-05 22:05:14,Seth.Greer_ucboulder,2022-07-05 22:05:28,Seth.Greer_ucboulder
Mount Olympus and two surrounding peaks,neeneb3i'eiitei'i,Faces to the Wind,,Arapaho,,,,,115,{6258A394-2EE3-4374-9059-494095875804},2022-07-05 22:11:14,Seth.Greer_ucboulder,2022-07-05 22:11:54,Seth.Greer_ucboulder
"Shadow, Lookout and Echo Mountains",beniisoteyoo',Piney Mountain,,Arapaho,,,,,116,{4C06F4D7-FB2D-459C-8E6B-494D82627A30},2022-07-05 22:20:08,Seth.Greer_ucboulder,2022-07-05 22:20:36,Seth.Greer_ucboulder
South Platte River,niineniiniicie,Tallow/Fat River,,Arapaho,,,,,117,{509B9B3D-A39E-4C82-AA12-B28A738665DE},2022-07-05 22:21:05,Seth.Greer_ucboulder,2022-07-05 22:21:36,Seth.Greer_ucboulder
South Platte River,niineniiniicie,Tallow/Fat River,,Arapaho,,,,,118,{ECE60B29-653E-4E58-87AD-FA2E0DDA99DA},2022-07-05 22:24:37,Seth.Greer_ucboulder,2022-07-05 22:24:55,Seth.Greer_ucboulder
Mount Wuh,wox,Bear,,Arapaho,Named by Supt Roger Toll in 1923,,,,119,{DD4F3234-57E9-4F27-8853-79997458679D},2022-07-05 22:30:06,Seth.Greer_ucboulder,2022-07-05 22:30:37,Seth.Greer_ucboulder
"Achonee, Mount",ó‘kénėstse ,Chiefs Name; Named by Colo Geographic Board,Indian Peaks,Cheyenne,Named for Cheyenne subchief One Eye killed at Sand Creek 1864,Grand,40.74362694,-105.6776998,1,{F1CD1817-039F-41BA-86B3-81EA5051287F},2022-06-14 20:17:17,Seth.Greer_ucboulder,2022-06-14 20:17:17,Seth.Greer_ucboulder
Camp Amache,amåhtóohe ?,,Eastern Colorado,Cheyenne,WWII Japanese Relocation Center; Daugher of Cheynne Chief Ochinee,Prowers,38.049444,-102.328611,2,{70016B25-1929-4091-8979-23E383CED855},2022-06-14 20:17:17,Seth.Greer_ucboulder,2022-06-14 20:17:17,Seth.Greer_ucboulder
Cheyenne County,,Tribe Name,Eastern Colorado,Cheyenne,Named by Colo Geographic Board,Cheyenne,38.8003,-102.6216,3,{9DE5ADC0-EC56-4469-BFBE-8688BDF91D1F},2022-06-14 20:17:17,Seth.Greer_ucboulder,2022-06-14 20:17:17,Seth.Greer_ucboulder
Cheyenne Wells Town,,Tribe Name,Eastern Colorado,Cheyenne,Named by Colo Geographic Board,Cheyenne,38.8214,-102.3532,4,{DAB001DD-8909-448D-B5E0-F1618D566198},2022-06-14 20:17:17,Seth.Greer_ucboulder,2022-06-14 20:17:17,Seth.Greer_ucboulder
Long's Peak,,Buffalo Lodge,,Cheyenne,,,40.2549,-105.616,5,{22DAED2B-079A-442D-8949-B6D1526D9AB7},2022-06-14 20:17:17,Seth.Greer_ucboulder,2022-06-14 20:17:17,Seth.Greer_ucboulder
Pikes Peak,,Bald Peak,Front Range,Cheyenne,,,38.8409,-105.0423,6,{5D1CC115-39B6-421D-BCC8-0184A8BEF5BE},2022-06-14 20:17:17,Seth.Greer_ucboulder,2022-06-14 20:17:17,Seth.Greer_ucboulder
Salt Fork of the Arkansas,,Salt River,,Cheyenne,,,37.177778,-99.363333,7,{9705D7EE-9B84-4C66-8EEB-DB8577FEEB17},2022-06-14 20:17:17,Seth.Greer_ucboulder,2022-06-14 20:17:17,Seth.Greer_ucboulder
Sand Creek (Big Sandy Creek),,Dry Creek,eastern Colorado,Cheyenne,,,38.5482,-102.511,8,{C79B5427-33E4-4F19-8FD9-6CB3A222D2A5},2022-06-14 20:17:17,Seth.Greer_ucboulder,2022-06-14 20:17:17,Seth.Greer_ucboulder
Apishapa River,oo'evótåhtsé-o'hé'e,'Quarreling River',,Cheyenne,,,,,10,{B245E281-4869-49D2-A818-26E99B81A250},2022-09-14 18:30:19,Seth.Greer_ucboulder,2022-09-14 18:31:17,Seth.Greer_ucboulder
Arikaree River,ononé-o'hé'e / ónone-ó'he'e,'Arikara River',,Cheyenne,Cf Cheyenne ónone 'Arikara',,,,11,{81E05572-6008-4071-809E-4C929C23DAE0},2022-09-14 18:33:05,Seth.Greer_ucboulder,2022-09-14 19:43:19,Seth.Greer_ucboulder
Arkansas River,motsėsóo(e)né-o'hé'e,'Flint Arrowhead River',,Cheyenne,,,,,12,{034521F8-796A-481E-ADF5-F28A816B49B6},2022-09-14 19:30:34,Seth.Greer_ucboulder,2022-09-14 19:31:03,Seth.Greer_ucboulder
Arkansas River,motsėsóo(e)né-o'hé'e,'Flint Arrowhead River',,Cheyenne,,,,,13,{D728260A-F379-4186-96A5-47B32F518FA4},2022-09-14 19:32:42,Seth.Greer_ucboulder,2022-09-14 19:33:10,Seth.Greer_ucboulder
Cimarron River,hotoa(e)-o'hé'e / hotóa-ó'he'e,'(Buffalo) Bull River',,Cheyenne,"Cf. Cheyenne hotóa-, newer name, borrowed from Comanche",,,,14,{BC46E832-991B-475D-B567-E416BE4CC10F},2022-09-14 19:36:56,Seth.Greer_ucboulder,2022-09-14 19:45:18,Seth.Greer_ucboulder
Crow Creek,ókohké-o'hé'e,'Crow Creek',,Cheyenne,Northern Cheyenne name. Cf. ókohke 'crow bird',,,,15,{892D6743-9DED-4E69-915C-151B7B3439B1},2022-09-14 19:40:13,Seth.Greer_ucboulder,2022-09-14 19:41:02,Seth.Greer_ucboulder
Crow Creek,óoetané-o'hé'e,'Crow Creek',,Cheyenne,Southern Cheyenne name. Cf. óoetane 'Crow Indian',,,,16,{C1B03B2E-BF93-42C9-B1A0-1CDFB9F51ED1},2022-09-14 19:41:23,Seth.Greer_ucboulder,2022-09-14 19:42:07,Seth.Greer_ucboulder
Cimarron River,no'otsehé-o'hé'e,'Many Pipe Smoke River',,Cheyenne,"Cf Cheyenne no'otsehe 'smoke with others', older name, originally Sioux",,,,20,{98B25ED9-63C5-45E2-A18A-AB7960210B10},2022-09-14 19:44:18,Seth.Greer_ucboulder,2022-09-14 19:45:05,Seth.Greer_ucboulder
Fountain Creek,héesevó'te-o'hé'e,'Seething River',,Cheyenne,Cf. Cheyenne héesevo'ta- 'bubbling',,,,21,{CE55B239-BFFA-4BDA-87C9-6CCA91F85030},2022-09-14 19:46:49,Seth.Greer_ucboulder,2022-09-14 19:47:38,Seth.Greer_ucboulder
Arapaho Pass,,Tattoo,Indian Peaks,Crow,Named by Colo Geographic Board 1877,Grand,40.01280932,-105.6763913,1,{B30BED93-7F21-4D20-8F4F-BEEAA4E736F4},2022-06-14 20:16:33,Seth.Greer_ucboulder,2022-06-14 20:16:33,Seth.Greer_ucboulder
Arapaho Peak - North,,Tattoo,Indian Peaks,Crow,Named by Colo Geographic Board 1877,Grand,40.02460099,-105.6499754,2,{2CA817E3-4D5A-4164-AE74-62FE23C204AD},2022-06-14 20:16:33,Seth.Greer_ucboulder,2022-06-14 20:16:33,Seth.Greer_ucboulder
Arapaho Peak - South,,Tattoo,Indian Peaks,Crow,Named by Colo Geographic Board 1877,Grand,40.01777852,-105.6487506,3,{CAF7BC86-43CB-4AAC-BF00-36756202CA3D},2022-06-14 20:16:33,Seth.Greer_ucboulder,2022-06-14 20:16:33,Seth.Greer_ucboulder
Kiowa Peak,,Tribe Name; One of the Indian Peaks,Northern Colorado,Kiowa,Named by Colo Geographic Board,Boulder,40.04589309,-105.6233205,4,{8D55B7BB-050C-4B79-BA7D-CCB125B5B1BC},2022-06-14 20:16:33,Seth.Greer_ucboulder,2022-06-14 20:16:33,Seth.Greer_ucboulder
Santanta Peak,,Chiefs Name; aka Satank,Indian Peaks,Kiowa,Named by Colo Geographic Board,Grand,40.02375272,-105.689191,5,{B3DA61DA-6F91-4D34-9083-A0C37EA2FE11},2022-06-14 20:16:33,Seth.Greer_ucboulder,2022-06-14 20:16:33,Seth.Greer_ucboulder
Arikaree Peak,,Elk Stag,Indian Peaks,Pawnee,Named by Colo Geographic Board 1914,Grand,40.04452625,-105.6377386,6,{6C8A1BC9-73A8-4C03-90CB-661403C29F44},2022-06-14 20:16:33,Seth.Greer_ucboulder,2022-06-14 20:16:33,Seth.Greer_ucboulder
Parika Peak,,horn,Northern Colorado,Pawnee,Unknown who named it,Jackson,40.3831858,-105.9460036,7,{89EA03A9-3E43-4FA2-A2E3-29668B69D749},2022-06-14 20:16:33,Seth.Greer_ucboulder,2022-06-14 20:16:33,Seth.Greer_ucboulder
Pawnee Peak,,Tribe Name; One of the Indian Peaks,Northern Colorado,Pawnee,Named by Colo Geographic Board,Grand,40.07933377,-105.6321872,8,{E447B956-C1CA-4CB5-ADCB-307D1BB278F4},2022-06-14 20:16:33,Seth.Greer_ucboulder,2022-06-14 20:16:33,Seth.Greer_ucboulder
Antero Junction,,Chiefs Name; Unitah Ute Chief Antero,,Ute,Named by Colo Geographic Board,Park,38.9233,-105.9653,1,{21F75352-23E0-4FA1-9A8E-F70EB0D3B0AC},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Antero Reservoir,,Chiefs Name; Unitah Ute Chief Antero,,Ute,Named by Colo Geographic Board,Park,38.9909,-105.9054,2,{5A603295-5248-4DF0-AFED-F5A88EFD0C43},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
"Antero, Mount",,Chiefs Name; Unitah Ute Chief Antero,,Ute,Named by Colo Geographic Board,Chaffee,38.6739,-106.2467,3,{7D283DD3-79F9-478F-A7EF-86FF74892702},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Antora Peak,,Chiefs Name; Unitah Ute Chief Antero,,Ute,Possible variant name for Antero,Saguache,38.325,-106.2181,4,{AA1431EC-6B78-465E-9D24-8A0F61714287},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Apishapa Pass,,Mossy water,Southeast Colorado,Ute,Pass at head of Apishapa River,Huerfano,37.34851,-105.02464,5,{407FDF86-086C-4E3A-BA35-22E65DEF0430},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Atchee Town,,Chiefs Name: bow or fathers younger brother,Central Colorado,Ute,Ute Chief,Garfield,39.563,-108.9129,6,{DCBB8684-D890-4B68-B411-4C60F239ED64},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Awaiukut Plateau,,Chiefs Name: he's not coming,Western Colorado,Ute,Also spelled O-Wi-Yu-Kuts; Named by Colo Geographic Board ,Moffat,39.1,-109.1,7,{53E337C6-A94B-445D-9F05-DA19EF118AA8},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Chipeta,,A Spring,Southwest Colorado,Ute,Wife of Ute Chief Ouray -- name on several features,Many,38.6811,-108.009,8,{11EFDC66-0B0A-47AA-9CB2-3C3B816E10E8},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Cochetopa Dome,,Buffalo Emerging,San Luis Valley,Ute,Source of obsidian,Saguache,38.2267,-106.7148,9,{71BE51FF-E4F5-4A79-B453-1321D9641181},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Cochetopa Pass,,Buffalo Emerging,San Luis Valley,Ute,"Pass also called ""North Pass"" between San L and Gunnison",Saguache,38.1629,-106.5998,10,{5E7D0B19-307F-4F8E-96E6-2AE6E660DC54},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Colorow Mountain,,Chiefs Name: Red (?),Several Locations,Ute,Ute Indian chief of Comanche origins,Rio Blanco,40.1822,-108.179,11,{D9EFB261-615F-4DDF-A67E-13D13B51A5BB},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Comanche Peak,,Enemy Foreigner,Eastern Colorado,Ute,,Larimer,32.2984,-97.7853,12,{48840D48-6955-49CE-8D94-7CAFF0AEDD68},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Comanche Town,,Enemy Foreigner,Eastern Colorado,Ute,,Adams,39.9855,-104.3005,13,{495CE80F-6C9B-45A6-8F4E-10AB46CB20D4},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Curecanti Needle,,Chiefs Name; Curicata was a Tabeguache Ute Chief,Southern Colorado,Ute,Named by Colo Geographic Board,Gunnison,38.448889,-107.414167,14,{965D4912-9B26-434F-AA9E-C950EB2091F0},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Curecanti Pass,,Chiefs Name; Curicata was a Tabeguache Ute Chief,Southern Colorado,Ute,Named by Colo Geographic Board,Gunnison,38.7089,-107.3706,15,{A7E841BF-96C1-4FEE-8A03-0DCFA08D8A38},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Douglas Pass,,"Chiefs Name; White River Ute Chief called ""Douglas""",Eastern Colorado,Ute,Named by Colo Geographic Board,Garfield,39.5975,-108.8032,16,{DAF9FC8F-5752-4FEE-BFCB-ECB1C6E2F3F6},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Gateway,,,Western Colorado,Ute,So called because of location on old Ute Trail,Mesa,38.6807,-108.9769,17,{EEC6F6F9-2668-4BB4-9441-C005589AFE59},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Grand Lake,,"Big, Holy, or Spirit Lake",Spirit Lake,Ute,,Grand,40.24257082,-105.8159199,18,{1B6228F8-C6A2-4E8A-9C82-CA46F166CFD8},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Hovenweep Canyon,,Bone Canyon,Southwest Colorado,Ute,,Montezuma,37.3838,-109.0726,19,{2569C358-15D4-4482-94B3-7CBE99E2FF2F},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Kannah,,Willow or Valley of Willows,Western Colorado,Ute,Town (?) and Creek on Gunnison River,Mesa,38.9391,-108.447,20,{184ED0E2-F1AE-438B-BDE6-7935CB4538C2},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Longs Peak,,Beaver Mountain,Continental Divide,Ute,Ute Name,Boulder,40.25271087,-105.6156191,21,{5383F340-6AFC-4901-BF20-4A14C3AFA2CC},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Morapos,,something big,Northwestern Colorado,Ute,Could also be a Scottish name,Moffat,40.181,-108.4608,22,{7D828E9E-D2B3-457B-A25A-DECE038B7671},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Narraguinnep Canyon,,battleground,Southwest Colorado,Ute,,Dolores,37.6603,-108.7345,23,{C26938A1-A472-4F1F-BA4B-7B504140AE4D},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
"Neva, Mount",,song; also nevo.  Brother of Chief Niwot,Northern Colorado,Ute, Named by Colo Geographic Board,Boulder,40.00492521,-105.6872209,24,{4D677855-1679-42E1-A3D3-123562249CC4},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Ouray County,,Chiefs Name: Ute,Western Colorado,Ute,Named by Colo Geographic Board; see Bangert 1986 for Ouray Bio.,Ouray,38.0228,-107.6714,25,{18958A58-4B50-4B82-B847-6A291AF2DD02},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Ouray Mountain,,Chiefs Name: Ute,Western Colorado,Ute,Named by Colo Geographic Board,Saguache,38.4225,-106.2253,26,{BC3D3F15-D506-4899-B420-7D8EEBBA52E1},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Ouray Peak,,Chiefs Name: Ute,Western Colorado,Ute,Named by Colo Geographic Board,Chaffee,39.0542,-106.565,27,{802CD0AB-371F-401A-B80B-CD8CE16FA0F2},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
O-Wi-Yu-Kuts Plateau,,Chiefs Name; he's not coming.  ,Western Colorado,Ute,Also spelled Awaiukut; Named by Colo Geographic Board,Moffat,39.1,-109.1,28,{CDB9B8EE-9E1E-4849-8C96-757EF8031F2C},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Pagosa Peak,,hot spring water,Southwest Colorado,Ute,,Archuleta,37.443908,-107.066752,29,{BF1AF5C1-C621-4C5B-9ED1-1E7B15CD5E08},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Pagosa Springs,,hot spring water,Southwest Colorado,Ute,,Archuleta,37.2694,-107.0098,30,{4DE68D7F-D71F-4599-82F9-E1CB6F358505},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Pahlone Peak,,thunder while raining,Central Colorado,Ute,Son of Chief Ouray,Chaffee,38.4806,-106.2581,31,{71BC40FB-C4AE-411A-B5BD-D42646BAAF72},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Rawah Peaks,,crest of a mountain ridge,Northern Colorado,Ute,,Larimer,39.7639877,-105.9497911,32,{45F66EAC-338C-4337-8AF6-423286B2198E},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Sapinero,,Chiefs Name; Brother-in-law of Chief Ouray,Central Colorado,Ute,Name could be Spanish; Named by Colo Geographic Board,Gunnison,38.4594,-107.3023,33,{FDF7727E-A730-485D-807B-C9A5876BAA19},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Tabeguache Peak,,Tribe Name for Northern Ute,Central Colorado,Ute,Named by Colo Geographic Board,Chaffee,38.6253,-106.2509,34,{29051FD8-39BB-4F35-BFC0-48FD765C5390},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Tabernash Town,,having a camp. ,Northern Colorado,Ute,Ute Indian killed here in 1879;  Named by local rancher,Grand,39.98966346,-105.8414945,35,{4165CC07-7C0E-4D06-A7C0-B72527112105},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Timpas ,,stone or iron,Eastern Colorqdo,Ute,"May be Spanish, Paiute, or Ute",Otero,37.8181,-103.7741,36,{E580B26B-ACE2-4A68-8FC0-E209CF63BB27},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Toponas,,Meaning of word is unknown,Northwestern Colorado,Ute,,Routt,40.0603,-106.8081,37,{95AA4E78-5A4C-4E5C-AD7C-AD07AD7000F5},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Towaoc,,"all right, its good, thank you",Southwest Colorado,Ute,Capitol of Ute Mountain Indian Reservation,Montezuma,37.2044,-108.7295,38,{64A0800D-576F-424A-B6B0-9A85DEF419D8},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Unaweep Canyon and Divide,,fire canyon,Western Colorado,Ute,,Mesa,38.7906,-108.655,39,{1215AF7F-BA8B-4AF0-B6BA-8C298A9B729C},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Uncompahgre Peak,,red lake.  ,Western Colorado,Ute,Name recorded by Dominguez-Escalante in 1776,Hinsdale,38.0717,-107.462,40,{56E41B99-120A-446A-9CC1-6ADC1ED55EA8},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Uneva,,mountainous country,Central Colorado,Ute,,Summit,39.5572,-106.1961,41,{502DCA28-07C5-4290-975C-F2D83B7F09A9},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Wasatch Mountain,,blue heron.,Western Colorado,Ute,Named by Colo Geographic Board,San Miguel,37.89,-107.7959,42,{9859BC07-C9AF-4D36-910E-240FCDE03796},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Weminuche,,canyon people,Southwest Colorado,Ute,Weminuche Band of Ute; Weminuche Creek and Wilderness,Hinsdale,37.4667,-106.9789,43,{E8F1032E-FE73-4D19-9E0C-43363C33C3E0},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
Yampa,,Name for plant Perideridia gairdneri,Western Colorado,Ute,Yampa River; Yampa/White River Band,Many,40.1525,-106.9087,44,{05EF7DEC-2067-443C-A50B-891A6B6B292D},2022-06-14 20:04:27,Seth.Greer_ucboulder,2022-06-14 20:04:27,Seth.Greer_ucboulder
